wallet,tx_count,total_value_eth_sent,total_value_eth_received,avg_gas,unique_recipients,unique_senders,contract_call_ratio,tx_frequency,tokens_sent_count,tokens_received_count,unique_tokens_sent,unique_tokens_received
0x000000006feee0b7a0564cd5ceb283e10347c4db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0
0x0000000071727de22e5e9d8baf0edac6f37da032,0.0,0.0,0.05,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
0x00000000a991c429ee2ec6df19d40fe0c80088b8,0.0,0.0,1.28207364e-10,0.0,0.0,1.0,0.0,0.0,6.0,6.0,2.0,2.0
0x00000000ae2193c4ac6521146b1adafe9b43361d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,42.0,9.0,9.0
0x00000000efe302beaa2b3e6e1b18d08d69a9012a,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0x00000000f06f144f74cfcf1f821b9c02961608c8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,2.0,2.0
0x00000000f93f6960b7678068a49bce0379e35c55,0.0,0.0,3.1e-16,0.0,0.0,4.0,0.0,0.0,14.0,8.0,6.0,6.0
0x00000000fd3a7b3fa5bcfa843c648714b11e089b,86.0,0.0,0.0,253593.39534883722,1.0,1.0,1.0,86.0,23.0,29.0,1.0,1.0
0x00000000fda4c75bfb5e0f3a75ce3d811b6f6c88,0.0,0.0,5.28787646e-10,0.0,0.0,1.0,0.0,0.0,9.0,9.0,5.0,5.0
0x00000000fff16d2b960b3ef2686e40ba99403835,11.0,1.08287e-13,0.0,245808.9090909091,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0
0x0000000aa232009084bd71a5797d089aa4edfad4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,533.0,826.0,3.0,3.0
0x00000027f490acee7f11ab5fdd47209d6422c5a7,44.0,5.276e-15,0.0,426096.04545454547,1.0,0.0,1.0,44.0,0.0,0.0,0.0,0.0
0x0000002b14f3372a7e8c6c54f1ee29b09f0a0b31,7.0,0.15000000000000002,0.0,290919.28571428574,3.0,0.0,1.0,7.0,3.0,2.0,3.0,2.0
0x0000004886c40e87f7c6dde647bceb2fbb64e6fe,5.0,0.0,0.0,668408.4,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0
0x00000073089833164a3d37aaaf018ae6febfdf96,5.0,1.6236976095e-08,0.0,168714.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0
0x0000007ac1a9553d4bca454634cb435f1999544b,7.0,2.0832856606e-08,0.0,203020.42857142858,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0
0x0000008710942ee96cc81659c46fabfdb478887b,10.0,5.28787646e-10,0.0,153050.9,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0
0x00000098b659009dd920c3b88847495846cc225a,0.0,0.0,2.0832856606e-08,0.0,0.0,1.0,0.0,0.0,7.0,7.0,1.0,1.0
0x000000dc68934ed27fd11e32491cdf6717acaf21,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0x000000de56001f487d4cbba41de461a333b62012,0.0,0.0,1.6236976095e-08,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0
0x000000fa00b200406de700041cfc6b19bbfb4d13,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0x00000688768803bbd44095770895ad27ad6b0d95,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,24.0,26.0,12.0,12.0
0x000006baa0aec9cf365f708e59507aa63f100000,5.0,0.0,0.0,1649534.6,2.0,0.0,1.0,5.0,1.0,2.0,1.0,1.0
0x000006c2a22ff4a44ff1f5d0f2ed65f781f55555,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
0x00000961ef480eb55e80d19ad83579a64c007002,0.0,0.0,4.03e-16,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0x00000b7a7a859f1b7ab55579fd4e7b0b22064f3d,2.0,0.0,0.0,148170.0,2.0,0.0,1.0,2.0,1.0,6.0,1.0,1.0
0x00000c771f6176268d5a9846e0956c3ef58597a1,1.0,0.0,0.0,51807.0,1.0,0.0,1.0,1.0,4.0,2.0,3.0,1.0
0x00000f91109c4d0007e90000d9facad5298a0cac,0.0,0.0,8.410000000000001e-16,0.0,0.0,6.0,0.0,0.0,22.0,35.0,12.0,13.0
0x000010036c0190e009a000d0fc3541100a07380a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,213.0,54.0,54.0
0x0000317bec33af037b5fab2028f52d14658f6a56,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,24.0,2.0,3.0
0x00003f0b7045822689ce3a6118846218a2c22cfd,12.0,0.001854639771520788,0.0,800000.0,1.0,0.0,1.0,12.0,0.0,10.0,0.0,3.0
0x00005ea00ac477b1030ce78506496e8c2de24bf5,0.0,0.0,2.2218983773597833,0.0,0.0,1584.0,0.0,0.0,0.0,0.0,0.0,0.0
0x0000830df56616d58976a12d19d283b40e25beef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,4.0,4.0
0x0000a26b00c1f0df003000390027140000faa719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0,0.0,1.0
0x0000b8258eb0a75e660317f914294fd2482a453e,16.0,0.0024028326029886,0.0,768297.0625,7.0,0.0,1.0,16.0,9.0,13.0,6.0,7.0
0x0000c94a3aadb903f436bb1000521c0023516000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0
0x0000f07d2b5f1ddf3244b8780f972f306efd2888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,1.0,1.0
